Campaign Number,Name,Start Date,End Date,Channel,Client,Address,Email,Phone,Contact,Audience,Location,Views,Likes,Clicks,Conversions, Expense ,Executive,CampaignType,Total Sales
526,Campaign 526,2023-03-30 00:00:00,2023-04-23 00:00:00,YouTube,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Teens 13-19,Australia,30372,9774,4169,283,"$22,544.06",Jesus Rivera,Sales,"$40,877.57"
527,Campaign 527,2023-12-26 00:00:00,2024-01-02 00:00:00,TikTok,"Hunt, Woods and Saunders","48531 Garcia Walk, Gonzalesville, WY 31844",rramsey@warren.com,1-628-025-3550x66010,April Brewer,Female 60+,USA,53283,6082,3783,960,"$24,511.44",Melissa Haynes,Sign Up,$0.00
528,Campaign 528,2023-09-01 00:00:00,2023-09-02 00:00:00,Facebook,Nunez-Bowers,"6821 Walker Via Suite 228, Lake Jessica, NE 05036-1909",michelle44@yahoo.com,(186)438-4897,James Woods,Female 40-60,LATAM,70975,3098,2857,289,"$29,042.22",Wesley Simon,Sales,"$64,916.34"
529,Campaign 529,2023-12-27 00:00:00,2024-01-23 00:00:00,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 18-40,USA,24082,4912,650,518,"$40,666.82",Kyle Serrano,Sales,"$28,986.86"
530,Campaign 530,2023-07-29 00:00:00,2023-08-27 00:00:00,Instagram,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Female 60+,Australia,58154,7801,3685,834,"$45,403.99",Brandon Townsend Jr.,Sales,"$64,569.68"
531,Campaign 531,2023-09-23 00:00:00,2023-10-02 00:00:00,YouTube,Wall-Cruz,"7470 Harris Roads Suite 137, Brookefort, MP 32507",davidponce@turner-copeland.com,539.823.7269x7824,Robert Cruz,Male 60+,Japan,57788,1904,4492,264,"$36,423.99",Becky Brown,Sales,"$59,316.61"
532,Campaign 532,2023-01-15 00:00:00,2023-01-25 00:00:00,Facebook,"Green, Lloyd and Ball","30284 Villarreal Passage Apt. 698, Brownshire, NV 89609-0041",wrightlucas@yahoo.com,562-293-0799x4586,Shelly Stafford,Adults 40-60,Europe,35782,7277,1257,48,"$12,829.76",Jesus Rivera,Sign Up,$0.00
533,Campaign 533,2023-04-25 00:00:00,2023-05-20 00:00:00,Email,Roberts-Howe,"64572 Dawn Forges Suite 455, South Samantha, PA 33248-5599",mckenziebrandon@allen.biz,698-591-7266x697,Robert Mcintosh,Adults 18-40,Canada,68780,4304,947,385,"$1,383.25",Brandon Townsend Jr.,Sales,"$38,112.03"
534,Campaign 534,2023-06-21 00:00:00,2023-06-22 00:00:00,TikTok,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Adults 40-60,Australia,8588,3026,2834,494,"$42,958.17",Brandon Townsend Jr.,Sign Up,$0.00
535,Campaign 535,2023-03-26 00:00:00,2023-03-30 00:00:00,Instagram,"Parker, Velasquez and Dixon","33302 Fuller Lakes, West Christopher, MH 17095",hutchinsonmary@gmail.com,#ERROR!,Brian George,Female 40-60,Canada,2032,8324,3692,494,"$17,958.56",Aaron Faulkner,Sales,"$62,543.34"
536,Campaign 536,2023-05-22 00:00:00,2023-06-09 00:00:00,Email,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Teens 13-19,Japan,40314,2283,1137,97,"$7,948.59",Wesley Simon,Sales,"$43,440.14"
537,Campaign 537,2023-11-22 00:00:00,2023-12-14 00:00:00,Instagram,Williams PLC,"911 Thomas Manors, Longchester, ID 62649-9748",sanchezangela@butler.com,(881)589-7098x1186,Reginald Lee,Female 60+,Canada,47633,2473,3114,969,"$28,810.28",Michael Camacho,Sales,"$50,538.61"
538,Campaign 538,2023-08-21 00:00:00,2023-09-08 00:00:00,Instagram,"James, Phelps and Burgess","026 Good Ports Apt. 881, Port Adam, KY 82799-9255",edurham@hotmail.com,#ERROR!,Vanessa Miranda,Female 40-60,LATAM,80744,9567,3831,300,"$21,503.77",Lauren Riggs,Sales,"$46,612.23"
539,Campaign 539,2023-07-24 00:00:00,2023-07-26 00:00:00,YouTube,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Female 40-60,LATAM,31148,9685,4695,443,"$11,770.88",Wesley Simon,Sales,"$53,470.57"
540,Campaign 540,2023-10-26 00:00:00,2023-10-27 00:00:00,YouTube,Griffin Inc,"Unit 3822 Box 8338, DPO AE 21031-0227",dixonamber@hotmail.com,(880)002-0608x56308,Theodore Murphy,Adults 18-40,Europe,54126,3241,3876,417,"$12,363.43",Brandon Townsend Jr.,Sales,"$43,394.78"
541,Campaign 541,2023-12-31 00:00:00,2024-01-16 00:00:00,Facebook,"Bush, Mendez and Smith","791 Darryl Squares Suite 934, Holdenport, OH 41129-2197",churchtimothy@yahoo.com,#ERROR!,Patrick Williams,Seniors 60+,Canada,3141,2066,4858,707,"$33,079.51",Brandon Townsend Jr.,Sign Up,$0.00
542,Campaign 542,2023-04-12 00:00:00,2023-05-06 00:00:00,Email,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Female 18-40,Canada,71363,4901,2954,229,"$42,744.36",Thomas Ryan,Sign Up,$0.00
543,Campaign 543,2023-04-08 00:00:00,2023-04-12 00:00:00,Instagram,Cooper-Alexander,"01438 Kristin Fords Apt. 626, Port Paula, WA 20979-6415",gchavez@yang.com,(284)401-5003,Alexandria Hansen,Male 18-40,Europe,77069,4269,3216,647,"$22,090.59",Thomas Ryan,Sign Up,$0.00
544,Campaign 544,2023-04-21 00:00:00,2023-05-20 00:00:00,TikTok,Green-Blake,"230 Brandon Bypass Apt. 679, New Melissa, TN 37505-3043",karenpayne@yahoo.com,399.882.0614x59395,Dustin Ramirez,Adults 40-60,Europe,58876,3430,2111,19,"$39,613.38",Jesus Rivera,Sales,"$34,503.35"
545,Campaign 545,2023-12-09 00:00:00,2023-12-21 00:00:00,TikTok,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Adults 18-40,UK,45538,4754,1731,825,"$44,619.17",Melissa Haynes,Sales,"$23,153.00"
546,Campaign 546,2023-11-10 00:00:00,2023-11-16 00:00:00,Instagram,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Male 60+,Australia,89920,6865,1180,635,"$17,851.68",Michael Camacho,Sign Up,$0.00
547,Campaign 547,2023-12-09 00:00:00,2024-01-08 00:00:00,Facebook,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Female 60+,Japan,19751,105,2064,390,"$39,438.63",Becky Brown,Sign Up,$0.00
548,Campaign 548,2023-11-15 00:00:00,2023-11-21 00:00:00,Instagram,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Male 60+,UK,8239,7428,1891,418,"$11,415.21",Thomas Ryan,Sales,"$70,333.73"
549,Campaign 549,2023-06-05 00:00:00,2023-06-30 00:00:00,Facebook,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Male 40-60,Australia,37914,3566,3760,192,"$40,046.15",Thomas Ryan,Sales,"$43,759.64"
550,Campaign 550,2023-10-05 00:00:00,2023-10-06 00:00:00,TikTok,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Adults 40-60,India,85675,1929,371,482,"$2,333.47",Jesus Rivera,Sign Up,$0.00
551,Campaign 551,2023-04-10 00:00:00,2023-05-02 00:00:00,TikTok,"Green, Lloyd and Ball","30284 Villarreal Passage Apt. 698, Brownshire, NV 89609-0041",wrightlucas@yahoo.com,562-293-0799x4586,Shelly Stafford,Female 18-40,UK,59750,5191,4322,179,"$11,171.37",Jesus Rivera,Sign Up,$0.00
552,Campaign 552,2023-07-02 00:00:00,2023-07-04 00:00:00,YouTube,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Male 18-40,Japan,8281,2729,2207,590,"$33,766.67",Lauren Riggs,Sales,"$30,713.37"
553,Campaign 553,2023-01-16 00:00:00,2023-02-02 00:00:00,Facebook,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Male 60+,Canada,92881,8244,1048,597,"$30,183.91",Thomas Ryan,Sales,"$71,056.63"
554,Campaign 554,2023-03-25 00:00:00,2023-04-06 00:00:00,Facebook,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Female 18-40,USA,25102,423,2306,115,"$21,717.10",Brandon Townsend Jr.,Sales,"$26,212.19"
555,Campaign 555,2023-11-26 00:00:00,2023-11-29 00:00:00,Email,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Teens 13-19,USA,28434,5705,2762,611,"$38,953.97",Jesus Rivera,Sales,"$45,282.52"
556,Campaign 556,2023-09-02 00:00:00,2023-09-20 00:00:00,TikTok,Walter Ltd,"591 Gallegos Shore, East Jennifer, VT 67675",gravessusan@gonzalez.com,4034303913,Sarah Warren,Female 40-60,Japan,77248,7277,2513,645,"$31,711.24",Aaron Faulkner,Sales,"$33,292.71"
557,Campaign 557,2023-12-07 00:00:00,2023-12-24 00:00:00,TikTok,Phillips-Lewis,"152 Munoz Spur, Richardbury, NE 64820-6682",ssullivan@yahoo.com,1-632-762-1401x4577,April Williams,Female 18-40,Europe,64760,6901,592,357,"$2,343.95",Aaron Faulkner,Sign Up,$0.00
558,Campaign 558,2023-06-04 00:00:00,2023-07-01 00:00:00,Facebook,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Adults 40-60,Japan,30243,7311,3013,543,"$12,348.63",Wesley Simon,Sales,"$60,225.47"
559,Campaign 559,2023-11-08 00:00:00,2023-11-11 00:00:00,YouTube,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 60+,UK,75884,1346,579,747,"$16,583.39",Melissa Haynes,Sales,"$40,139.67"
560,Campaign 560,2023-09-29 00:00:00,2023-10-24 00:00:00,Email,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Adults 40-60,UK,61132,7347,583,771,"$36,681.70",Thomas Ryan,Sign Up,$0.00
561,Campaign 561,2023-01-03 00:00:00,2023-01-06 00:00:00,Facebook,Nunez-Bowers,"6821 Walker Via Suite 228, Lake Jessica, NE 05036-1909",michelle44@yahoo.com,(186)438-4897,James Woods,Seniors 60+,Australia,91198,1427,2362,70,"$41,732.19",Wesley Simon,Sales,"$67,380.19"
562,Campaign 562,2023-01-03 00:00:00,2023-01-07 00:00:00,YouTube,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Adults 40-60,LATAM,95668,4575,3630,641,"$35,713.13",Jesus Rivera,Sales,"$56,873.06"
563,Campaign 563,2023-12-23 00:00:00,2024-01-08 00:00:00,Email,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Adults 40-60,USA,30742,3986,2245,266,"$9,993.61",Brandon Townsend Jr.,Sales,"$23,153.00"
564,Campaign 564,2023-11-06 00:00:00,2023-12-06 00:00:00,Facebook,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Adults 40-60,Europe,1686,9974,1657,504,"$24,402.45",Aaron Faulkner,Sales,"$26,040.52"
565,Campaign 565,2023-11-29 00:00:00,2023-12-12 00:00:00,TikTok,"Hunt, Woods and Saunders","48531 Garcia Walk, Gonzalesville, WY 31844",rramsey@warren.com,1-628-025-3550x66010,April Brewer,Male 40-60,Canada,99064,6800,2348,920,"$33,158.28",Melissa Haynes,Sales,"$65,970.18"
566,Campaign 566,2023-05-04 00:00:00,2023-05-19 00:00:00,TikTok,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Seniors 60+,Canada,67436,1912,4256,518,"$34,634.74",Thomas Ryan,Sales,"$34,802.56"
567,Campaign 567,2023-05-26 00:00:00,2023-06-03 00:00:00,Facebook,"Salinas, Rodriguez and Bowman","04604 Davidson Underpass Apt. 439, Lake Tiffany, DC 35416",gutierrezjames@yahoo.com,1-554-948-6086x0863,Laura Caldwell,Adults 18-40,Japan,81307,3086,4132,184,"$43,597.88",Thomas Ryan,Sales,"$67,023.20"
568,Campaign 568,2023-10-01 00:00:00,2023-10-10 00:00:00,TikTok,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Teens 13-19,UK,46473,6249,1331,637,"$8,018.37",Brandon Townsend Jr.,Sign Up,$0.00
569,Campaign 569,2023-04-19 00:00:00,2023-05-15 00:00:00,Email,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Adults 18-40,Europe,13392,1573,523,59,$845.52,Brandon Townsend Jr.,Sales,"$31,672.37"
570,Campaign 570,2023-05-19 00:00:00,2023-05-24 00:00:00,Facebook,Phillips-Lewis,"152 Munoz Spur, Richardbury, NE 64820-6682",ssullivan@yahoo.com,1-632-762-1401x4577,April Williams,Male 40-60,Japan,72587,9206,4522,84,"$44,424.82",Aaron Faulkner,Sales,"$84,065.61"
571,Campaign 571,2023-03-06 00:00:00,2023-03-27 00:00:00,Facebook,Mitchell-Rojas,"Unit 7421 Box 5134, DPO AE 60814",johnathan43@hotmail.com,1-211-588-6353,Benjamin Anthony,Female 40-60,Australia,90979,7824,1463,300,"$27,451.58",Thomas Ryan,Sign Up,$0.00
572,Campaign 572,2023-10-31 00:00:00,2023-11-15 00:00:00,Instagram,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Adults 40-60,LATAM,52251,5191,2016,707,"$7,191.60",Becky Brown,Sales,"$54,257.65"
573,Campaign 573,2023-01-06 00:00:00,2023-02-02 00:00:00,Instagram,Cooper-Alexander,"01438 Kristin Fords Apt. 626, Port Paula, WA 20979-6415",gchavez@yang.com,(284)401-5003,Alexandria Hansen,Male 18-40,Europe,10330,2556,3106,585,"$4,687.95",Thomas Ryan,Sales,"$56,550.69"
574,Campaign 574,2023-06-26 00:00:00,2023-07-25 00:00:00,Facebook,Drake-Vasquez,"8980 Cox Park, South Robert, NV 66099-6728",tylersheila@hicks.com,123-800-5701,Teresa Doyle,Female 60+,LATAM,50136,8383,4725,531,"$29,927.92",Michael Camacho,Sales,"$25,015.30"
575,Campaign 575,2023-02-25 00:00:00,2023-03-15 00:00:00,YouTube,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Teens 13-19,Australia,56788,6094,4412,423,"$34,283.55",Michael Camacho,Sales,"$34,637.66"
576,Campaign 576,2023-05-17 00:00:00,2023-06-09 00:00:00,Email,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Male 40-60,Canada,81235,1627,1022,677,"$4,974.51",Jesus Rivera,Sales,"$76,861.26"
577,Campaign 577,2023-03-30 00:00:00,2023-04-29 00:00:00,YouTube,Green-Blake,"230 Brandon Bypass Apt. 679, New Melissa, TN 37505-3043",karenpayne@yahoo.com,399.882.0614x59395,Dustin Ramirez,Male 18-40,USA,26289,8400,3049,494,"$12,221.77",Jesus Rivera,Sign Up,$0.00
578,Campaign 578,2023-01-23 00:00:00,2023-02-14 00:00:00,Facebook,"Salinas, Rodriguez and Bowman","04604 Davidson Underpass Apt. 439, Lake Tiffany, DC 35416",gutierrezjames@yahoo.com,1-554-948-6086x0863,Laura Caldwell,Male 60+,Canada,97761,8065,3956,80,"$36,828.93",Thomas Ryan,Sales,"$75,240.36"
579,Campaign 579,2023-06-05 00:00:00,2023-06-18 00:00:00,Email,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 18-40,India,95533,6502,4720,785,"$7,108.90",Melissa Haynes,Sales,"$23,153.00"
580,Campaign 580,2023-03-29 00:00:00,2023-04-01 00:00:00,TikTok,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Male 60+,USA,50441,2628,1881,15,"$21,221.03",Melissa Haynes,Sales,"$60,189.54"
581,Campaign 581,2023-10-08 00:00:00,2023-10-13 00:00:00,TikTok,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Adults 18-40,USA,80620,3779,1134,403,"$39,969.10",Jesus Rivera,Sales,"$70,744.61"
582,Campaign 582,2023-01-13 00:00:00,2023-02-02 00:00:00,Instagram,Walter Ltd,"591 Gallegos Shore, East Jennifer, VT 67675",gravessusan@gonzalez.com,4034303913,Sarah Warren,Seniors 60+,Canada,53075,3215,2349,818,"$35,269.91",Aaron Faulkner,Sales,"$69,430.12"
583,Campaign 583,2023-01-28 00:00:00,2023-02-26 00:00:00,Email,"Mcclain, Beltran and Patterson","2179 Obrien Fort, New Christopher, FL 06005",jeffrey07@rice.com,698-872-5966x57978,Bryan Moore,Female 18-40,UK,41294,1857,1625,368,"$14,742.72",Brandon Townsend Jr.,Sales,"$73,364.72"
584,Campaign 584,2023-03-02 00:00:00,2023-03-31 00:00:00,Facebook,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Female 18-40,Japan,81106,8002,2126,499,"$36,741.53",Melissa Haynes,Sign Up,$0.00
585,Campaign 585,2023-04-08 00:00:00,2023-04-10 00:00:00,Email,Mitchell-Rojas,"Unit 7421 Box 5134, DPO AE 60814",johnathan43@hotmail.com,1-211-588-6353,Benjamin Anthony,Female 60+,USA,27151,3612,2320,163,"$6,548.04",Thomas Ryan,Sales,"$46,032.73"
586,Campaign 586,2023-12-07 00:00:00,2023-12-15 00:00:00,Email,Harmon Inc,"3532 Carla Spurs Suite 631, East Susanside, VA 63110-6508",steven77@miller.com,1-293-472-4144x72086,Heidi Black,Adults 40-60,LATAM,56032,7833,3327,479,"$13,186.21",Kyle Serrano,Sign Up,$0.00
587,Campaign 587,2023-01-29 00:00:00,2023-01-30 00:00:00,YouTube,Williams PLC,"911 Thomas Manors, Longchester, ID 62649-9748",sanchezangela@butler.com,(881)589-7098x1186,Reginald Lee,Teens 13-19,Canada,31424,9960,507,826,"$34,523.67",Michael Camacho,Sales,"$86,598.07"
588,Campaign 588,2023-03-06 00:00:00,2023-03-30 00:00:00,YouTube,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Seniors 60+,Australia,30628,2399,4304,610,"$28,233.93",Thomas Ryan,Sales,"$33,313.76"
589,Campaign 589,2023-05-16 00:00:00,2023-06-10 00:00:00,Email,Phillips-Lewis,"152 Munoz Spur, Richardbury, NE 64820-6682",ssullivan@yahoo.com,1-632-762-1401x4577,April Williams,Female 40-60,LATAM,4819,8486,1701,406,"$4,949.35",Aaron Faulkner,Sales,"$42,938.74"
590,Campaign 590,2023-08-08 00:00:00,2023-08-16 00:00:00,Email,Pearson-Shah,"5117 Suzanne Branch, Barnesmouth, VA 53846",anthony54@perez.com,644.194.6281,Shannon Martinez,Teens 13-19,Japan,46209,7370,2603,535,"$19,804.52",Jesus Rivera,Sign Up,$0.00
591,Campaign 591,2023-04-09 00:00:00,2023-04-23 00:00:00,Facebook,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Adults 18-40,USA,56978,9743,4008,582,"$27,837.31",Lauren Riggs,Sales,"$80,981.33"
592,Campaign 592,2023-04-13 00:00:00,2023-04-16 00:00:00,Facebook,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,#ERROR!,Dr. David Glass Jr.,Male 18-40,Europe,77216,7334,3801,683,"$44,205.71",Melissa Haynes,Sign Up,$0.00
593,Campaign 593,2023-05-27 00:00:00,2023-05-28 00:00:00,Instagram,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Male 60+,Japan,81006,7789,2104,526,"$49,969.56",Lauren Riggs,Sales,"$52,977.46"
594,Campaign 594,2023-01-14 00:00:00,2023-02-07 00:00:00,Facebook,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Male 40-60,Europe,61639,1042,4734,691,"$17,368.78",Jesus Rivera,Sign Up,$0.00
595,Campaign 595,2023-08-19 00:00:00,2023-09-12 00:00:00,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Adults 18-40,India,77055,9489,2976,879,"$28,296.69",Jesus Rivera,Sales,"$23,153.00"
596,Campaign 596,2023-08-17 00:00:00,2023-09-01 00:00:00,Facebook,"Mcclain, Beltran and Patterson","2179 Obrien Fort, New Christopher, FL 06005",jeffrey07@rice.com,698-872-5966x57978,Bryan Moore,Male 18-40,UK,71289,8286,3794,324,"$13,346.46",Brandon Townsend Jr.,Sales,"$56,004.70"
597,Campaign 597,2023-11-30 00:00:00,2023-12-15 00:00:00,TikTok,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Male 40-60,Japan,58142,3147,2799,361,"$47,160.07",Lauren Riggs,Sales,"$80,816.25"
598,Campaign 598,2023-06-21 00:00:00,2023-07-19 00:00:00,YouTube,"Brown, Lawrence and Collins","069 Jeffrey Neck, North Jeffreyberg, VI 70669-3291",tracyfields@evans.com,1-351-320-8584x4902,Thomas Fleming,Male 40-60,LATAM,93343,9094,1315,978,"$41,161.50",Michael Camacho,Sign Up,$0.00
599,Campaign 599,2023-03-15 00:00:00,2023-03-22 00:00:00,YouTube,"Miller, Bryant and Burnett","1044 Kennedy Prairie Apt. 186, Jamiemouth, NE 12690-6573",bjohnson@martin-williams.com,958-840-3830,Christopher Clark,Female 60+,Europe,39328,754,3491,937,"$3,515.66",Aaron Faulkner,Sales,"$66,902.20"
600,Campaign 600,2023-10-25 00:00:00,2023-11-03 00:00:00,Facebook,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Adults 18-40,Europe,39294,8805,4909,147,"$17,523.52",Lauren Riggs,Sales,"$32,704.87"
601,Campaign 601,2023-03-31 00:00:00,2023-04-21 00:00:00,Facebook,"Rowe, Morse and Morgan","247 Young Spur, North Jacobview, WI 24275",hstafford@yahoo.com,(934)411-1363,Destiny Atkins,Female 60+,USA,50185,8439,4325,773,"$48,216.05",Becky Brown,Sales,"$52,605.39"
602,Campaign 602,2023-11-04 00:00:00,2023-12-03 00:00:00,YouTube,Roberts-Howe,"64572 Dawn Forges Suite 455, South Samantha, PA 33248-5599",mckenziebrandon@allen.biz,698-591-7266x697,Robert Mcintosh,Female 40-60,Canada,82240,9959,4492,561,"$12,926.98",Brandon Townsend Jr.,Sales,"$23,153.00"
603,Campaign 603,2023-03-24 00:00:00,2023-03-27 00:00:00,YouTube,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 40-60,USA,21748,5414,850,843,"$7,781.97",Kyle Serrano,Sign Up,$0.00
604,Campaign 604,2023-11-03 00:00:00,2023-11-25 00:00:00,Instagram,Bernard and Sons,"8622 Ricky Knoll, New Jenniferville, GA 79764-9207",johnsonrobert@white.com,#ERROR!,Julia Moore,Teens 13-19,UK,38822,3264,1743,48,"$2,226.49",Thomas Ryan,Sales,"$33,783.88"
605,Campaign 605,2023-02-06 00:00:00,2023-02-12 00:00:00,YouTube,Harmon Inc,"3532 Carla Spurs Suite 631, East Susanside, VA 63110-6508",steven77@miller.com,1-293-472-4144x72086,Heidi Black,Female 40-60,UK,27347,4777,4000,673,"$36,677.99",Kyle Serrano,Sign Up,$0.00
606,Campaign 606,2023-03-25 00:00:00,2023-04-03 00:00:00,Email,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Seniors 60+,Australia,43823,3723,4028,358,$927.32,Wesley Simon,Sign Up,$0.00
607,Campaign 607,2023-01-01 00:00:00,2023-01-27 00:00:00,Email,Williams PLC,"911 Thomas Manors, Longchester, ID 62649-9748",sanchezangela@butler.com,(881)589-7098x1186,Reginald Lee,Male 40-60,UK,12063,6291,114,775,"$24,668.77",Michael Camacho,Sales,"$55,831.70"
608,Campaign 608,2023-06-19 00:00:00,2023-07-07 00:00:00,TikTok,"Brown, Lawrence and Collins","069 Jeffrey Neck, North Jeffreyberg, VI 70669-3291",tracyfields@evans.com,1-351-320-8584x4902,Thomas Fleming,Adults 18-40,India,31421,9103,2516,905,"$12,346.59",Michael Camacho,Sales,"$42,235.74"
609,Campaign 609,2023-04-10 00:00:00,2023-04-28 00:00:00,YouTube,"Ramos, Gomez and Garcia","PSC 8675, Box 2798, APO AA 82949-7770",huntdavid@orr.info,#ERROR!,Eric Harrison,Male 60+,Europe,94679,9145,4968,495,"$47,978.14",Kyle Serrano,Sales,"$60,141.59"
610,Campaign 610,2023-08-16 00:00:00,2023-09-14 00:00:00,Facebook,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 60+,LATAM,32551,3324,1619,513,"$15,727.00",Brandon Townsend Jr.,Sales,"$46,064.84"
611,Campaign 611,2023-06-14 00:00:00,2023-06-20 00:00:00,Instagram,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,#ERROR!,Christine Barnes,Teens 13-19,Japan,3329,6403,2525,51,"$38,360.16",Thomas Ryan,Sales,"$53,240.63"
